Common Fish Name,Temperament,Grows To,Starting Tank Size,Typical Color,CB's Recommended Fish Food,Fish Care Notes,Temperature Range,Water PH,Water KH,Origin,Plant Safety,Scientific Name,QR,SKU
Barb Rhombo,Peaceful,"2""",20 Gallon,Reddish-brown with diamond-shaped dark body bars,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Peaceful schooling barb; good community fish. Plant-safe.,73-82°F,5.5-6.8,2-8 dKH,Borneo,Safe,Desmopuntius rhomboocellatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Barb Rhombo.html,BA16
Barb Tiger,Semi-aggressive,"3""",30 Gallon,Golden-orange with four distinct vertical black bands,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms","Known fin-nipper, especially in small groups. Keep in schools of 8 or more to redirect aggression. Avoid with angelfish, bettas, and guppies. Plant-safe.",74-80°F,6.0-7.5,4-12 dKH,"Southeast Asia (Borneo, Sumatra)",Safe,Puntigrus tetrazona,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Barb Tiger.html,BA17
Barb Tiger Albino,Semi-aggressive,"3""",30 Gallon,Creamy yellow body with white stripes and red eyes,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms","Albino Tiger Barb — same semi-aggressive temperament as standard Tiger Barb. Keep in schools of 8 or more; avoid with angelfish, bettas, and guppies. Plant-safe.",74-80°F,6.0-7.5,4-12 dKH,"Southeast Asia (Borneo, Sumatra)",Safe,Puntigrus tetrazona,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Barb Tiger Albino.html,BA19
Barb TinFoil,Peaceful,"14""",55 Gallon,Bright silver mirror-like scales with bright red fins,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms","Large, active, peaceful barb growing up to 14 Inches. Needs a 125 or more gallon tank in a school. May consume soft aquatic plants — use robust species like Java fern or Anubias.",72-80°F,6.5-7.5,4-10 dKH,Southeast Asia,Caution,Barbonymus schwanenfeldii,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Barb TinFoil.html,BA20
Barb TinFoil Gold,Peaceful,"14""",125 Gallon,Polished metallic brassy-gold with red fins,"Omnivore. Voracious feeders. Provide a staple flake or pellet diet mixed with frequent feedings of live or frozen daphnia, brine shrimp, and vegetable flakes.","Gold variant of Tinfoil Barb; same large size and temperament. Needs 125 or more gallon tank. May nibble soft plants — use robust, hardy species.",64-75°F,6.0-8.0,5-15 dKH,"East Asia (China, Vietnam)",Caution,Barbodes semifasciolatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Barb TinFoil Gold.html,BA22
Betta Crowntail (Female),Peaceful,"2.5""",5 Gallon,Assorted colors; distinctive spiked fin borders,"Omnivore. Hikari Vibra Bites,, Hikari Betta Food, Hikari Frozen Bloodworms, Hikari Frozen Brine",Female bettas are much more tolerant than males. Can be kept in community tanks. Plant-safe and benefits from planted environments.,76-82°F,7.0-7.4,2-5 dKH,Southeast Asia (Thailand),Safe,Betta splendens,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Betta Crowntail (Female).html,BE04
Betta Crowntail (Male),Aggressive to other bettas and long-finned fish,"2.5-3""",10 Gallon,Varies widely; spiky crown-shaped fin rays,"Omnivore. Hikari Vibra Bites,, Hikari Betta Food, Hikari Frozen Bloodworms, Hikari Frozen Brine","Keep solo or with peaceful, non fin-nipping tankmates; needs surface access for labyrinth organ; avoid strong current",76-82°F,6.5-7.5,3-4 dKH,Thailand (Southeast Asia),Safe,Betta splendens,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Betta Crowntail (Male).html,BE03
Betta Female,Peaceful,"2.5""",5 Gallon,"Assorted varied colors with short, neat fins","Omnivore. Hikari Vibra Bites,, Hikari Betta Food, Hikari Frozen Bloodworms, Hikari Frozen Brine",Female bettas are generally more community-friendly. Still monitor for aggression. Plant-safe and benefits from planted tanks.,76-82°F,6.5-7.5,2-5 dKH,Southeast Asia (Thailand),Safe,Betta splendens,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Betta Female.html,BE02
Betta Halfmoon (Female),Semi-aggressive; can be kept in sororities of 5+,"2-2.5""",10 Gallon,Varies widely; 180° fan-shaped tail,"Omnivore. Hikari Vibra Bites,, Hikari Betta Food, Hikari Frozen Bloodworms, Hikari Frozen Brine",More tolerant of other females in larger groups; still needs close monitoring for aggression; provide dense planting/line of sight breaks,76-82°F,6.5-7.5,3-4 dKH,Thailand (Southeast Asia),Safe,Betta splendens,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Betta Halfmoon (Female).html,BE06
Betta Halfmoon (Male),Aggressive to other bettas and long-finned fish,"2.5-3""",10 Gallon,Varies widely; 180° fan-shaped tail,"Omnivore. Hikari Vibra Bites,, Hikari Betta Food, Hikari Frozen Bloodworms, Hikari Frozen Brine","Keep solo; large flowing fins are prone to nipping and need calm, gentle-flow water",76-82°F,6.5-7.5,3-4 dKH,Thailand (Southeast Asia),Safe,Betta splendens,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Betta Halfmoon (Male).html,BE05
Betta Halfmoon Koi Female,Semi-aggressive; can be kept in sororities of 5+,"2-2.5""",10 Gallon,Varies widely; 180° fan-shaped tail,"Omnivore. Hikari Vibra Bites,, Hikari Betta Food, Hikari Frozen Bloodworms, Hikari Frozen Brine",More tolerant of other females in larger groups; still needs close monitoring for aggression; provide dense planting/line of sight breaks,76-82°F,6.5-7.5,3-4 dKH,Thailand (Southeast Asia),Safe,Betta splendens,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Betta Halfmoon Koi Female.html,503785Q
Betta Male,Aggressive,"3""",5 Gallon,Assorted vibrant primary colors with long flowing fins,"Omnivore. Hikari Vibra Bites,, Hikari Betta Food, Hikari Frozen Bloodworms, Hikari Frozen Brine",Standard male betta — highly aggressive toward other males and brightly colored fish. Best kept alone. Loves plants for hiding and resting.,76-82°F,6.5-7.5,2-5 dKH,Southeast Asia (Thailand),Safe,Betta splendens,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Betta Male.html,BE01
Betta Plakat (Female),Semi-aggressive; more active than long-finned forms,"2-2.5""",10 Gallon,"Varies widely; short, rounded fins","Omnivore. Hikari Vibra Bites,, Hikari Betta Food, Hikari Frozen Bloodworms, Hikari Frozen Brine",Hardier and better community candidate than long-finned bettas; still monitor with fin-nipping species,76-82°F,6.5-7.5,3-4 dKH,Thailand (Southeast Asia),Safe,Betta splendens,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Betta Plakat (Female).html,BE08
Betta Plakat (Male),Aggressive,"3""",5 Gallon,"Assorted brilliant patterns; short, aggressive show fins","Omnivore. Hikari Vibra Bites,, Hikari Betta Food, Hikari Frozen Bloodworms, Hikari Frozen Brine",Plakat (short-fin) male betta. Still aggressive toward other males. Keep alone or with docile tankmates. Plant-safe.,76-82°F,6.5-7.5,2-5 dKH,Southeast Asia (Thailand),Safe,Betta splendens,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Betta Plakat (Male).html,BE07
Betta Veiltail,Aggressive,"3""",5 Gallon,"Assorted brilliant patterns; short, aggressive show fins","Omnivore. Hikari Vibra Bites,, Hikari Betta Food, Hikari Frozen Bloodworms, Hikari Frozen Brine",Plakat (short-fin) male betta. Still aggressive toward other males. Keep alone or with docile tankmates. Plant-safe.,76-82°F,6.5-7.5,2-5 dKH,Southeast Asia (Thailand),Safe,Betta splendens,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Betta Veiltail.html,601939A
Bichir Albino,Semi-aggressive,"12""",50 Gallon,Pinkish-white prehistoric eel-body; row of tiny dorsal finlets,"Carnivore. Hikari Frozen Food, Vibra Bites, VipaChips",Predatory bottom dweller; will eat small fish. Generally ignores plants but may disturb roots when moving. Use robust plants. Grows to 12 inches or more.,77-82°F,6.8-7.6,5-12 dKH,Africa,Caution,Polypterus senegalus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Bichir Albino.html,MI04
Bichir Delhezi,Semi-aggressive,"14""",90 Gallon,Olive grey body with distinct dark vertical bars or chevrons,"Carnivore/Predator. High-protein floating/sinking predator pellets, krill, silversides, freeze-dried shrimp, or frozen bloodworms depending on fish size.",Same predatory nature as other bichirs. Peaceful with similarly large fish. May disturb plant roots. Grows to 14 Inches or more.,75-82°F,6.5-7.5,5-12 dKH,Africa,Caution,Polypterus delhezi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Bichir Delhezi.html,MI05
Catfish Adolpho's Cory,Peaceful,"2.2""",10 Gallon,Tan body with black back strip and bright orange nape,"Omnivore. Hikari Sinking Medium Gold, Hikari Sinking Mini Gold, Sera Sinking Veggie, Sera Sinking",Peaceful bottom dweller; great community fish. Thrives in groups of 6 or more. Plant-safe and benefits from planted tanks. Prefers soft substrate.,75-85°F,6.5-7.5,3-10 dKH,South America (Amazon Basin),Safe,Corydoras adolfoi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Adolpho's Cory.html,CA03
Catfish Albino Cory,Peaceful,"2.8""",10 Gallon,Solid pinkish-white body with bright pink eyes,"Omnivore. Hikari Sinking Medium Gold, Hikari Sinking Mini Gold, Sera Sinking Veggie, Sera Sinking","Albino form of aeneus cory. Peaceful, social bottom dweller. Plant-safe; prefers soft substrate. Keep in groups of 6 or more.",75-85°F,7.0-7.4,3-10 dKH,South America (Amazon Basin),Safe,Corydoras aeneus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Albino Cory.html,CA01
Catfish Albino Peppered Cory,Peaceful,"2.8""",10 Gallon,"Pale body, reddish-pink eyes, and light, shimmering iridescent blue accents","Omnivore. Hikari Sinking Medium Gold, Hikari Sinking Mini Gold, Sera Sinking Veggie, Sera Sinking","Albino form of aeneus cory. Peaceful, social bottom dweller. Plant-safe; prefers soft substrate. Keep in groups of 6 or more.",75-85°F,7.0-7.5,3-10 dKH,South America (Amazon Basin),Safe,Corydoras paleatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Albino Peppered Cory.html,6270805
Catfish Aneus Bronze Cory,Peaceful,"2.8""",10 Gallon,Bronze-green metallic body with a light belly,"Omnivore. Hikari Sinking Medium Gold, Hikari Sinking Mini Gold, Sera Sinking Veggie, Sera Sinking","Hardy, peaceful cory catfish. Excellent community fish; keep in groups of 6 or more. Plant-safe. Prefers soft substrate.",75-85°F,7.0-7.4,3-10 dKH,South America (Amazon Basin),Safe,Corydoras aeneus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Aneus Bronze Cory.html,CA02
Catfish Aneus Cory,Peaceful,"2.8""",10 Gallon,Bronze-green metallic body with a light belly,"Omnivore. Hikari Sinking Medium Gold, Hikari Sinking Mini Gold, Sera Sinking Veggie, Sera Sinking","Hardy, peaceful cory catfish. Excellent community fish; keep in groups of 6 or more. Plant-safe. Prefers soft substrate.",75-85°F,7.0-7.4,3-10 dKH,South America (Amazon Basin),Safe,Corydoras aeneus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Aneus Cory.html,CA02
Catfish Black Fin Cory,Peaceful,"2.5""",10 Gallon,Silver body covered in dark spots; bold black dorsal fin,"Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms",Peaceful cory species; excellent community bottom dweller. Plant-safe; keep in groups of 6 or more. Prefers soft substrate.,75-85°F,7.0-7.4,3-10 dKH,South America (Amazon Basin),Safe,Corydoras leucomelas,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Black Fin Cory.html,CA05
Catfish Bronze Cory,Peaceful,"2.8""",10 Gallon,Bronze-green metallic body with a light belly,"Omnivore. Hikari Sinking Medium Gold, Hikari Sinking Mini Gold, Sera Sinking Veggie, Sera Sinking","Hardy, peaceful cory catfish. Excellent community fish; keep in groups of 6 or more. Plant-safe. Prefers soft substrate.",75-85°F,7.0-7.4,3-10 dKH,South America (Amazon Basin),Safe,Corydoras aeneus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Bronze Cory.html,CA02
Catfish Burmese Marble,Peaceful,"12""",29 Gallon,Intricate marbled cream and dark brown patterning,"Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms",Peaceful catfish; good community fish. Plant-safe.,75-85°F,7.0-7.4,5-12 dKH,Myanmar,Safe,Glyptothorax trilineatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Burmese Marble.html,CA07
Catfish Cory Black,"Peaceful, schooling","2-2.5""",10 Gallon,Dark grey to black body,"Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms",Bottom dweller; keep in groups of 6+; use sand substrate to protect barbels,72-78°F,6.0-7.5,2-12 dKH,South America (Amazon/Orinoco basins),Safe,Corydoras sp. (black morph),https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Cory Black.html,H844139
Catfish Dwarf Bumble Bee,Peaceful,"3""",10 Gallon,Alternating thick black and bright orange-yellow bands,"Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Sinking Pellets","Small, peaceful catfish. Best with similarly sized peaceful fish. Plant-safe.",77-82°F,7.0-7.6,4-12 dKH,South America,Safe,Microglanis iheringi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Dwarf Bumble Bee.html,CA08
Catfish Dwarf Petricola,Peaceful,"4""",10 Gallon,Light tan body covered in small brown spots; white fin trim,"Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Sinking Pellets",Peaceful dwarf catfish from Africa. Social; keep in groups. Plant-safe.,77-82°F,7.0-7.6,10-20 dKH,Africa (Lake Tanganyika),Safe,Synodontis petricola,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Dwarf Petricola.html,CA09
Catfish False Bandit,Peaceful,"2""",10 Gallon,Sandy tan body with a black mask across the eyes,"Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Sinking Pellets",Peaceful cory-type catfish. Good community bottom dweller. Plant-safe. Keep in groups.,77-82°F,7.0-7.6,3-10 dKH,Brazil and Colombia — upper Rio Negro and Meta River basins (Amazon/Orinoco watershed,Safe,Corydoras melini,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish False Bandit.html,CA10
Catfish Glass,Peaceful,"4""",20 Gallon,"Completely transparent, clear glass-like body","Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms","Transparent, peaceful schooling fish. Keep in groups of 6 or more. Sensitive to water quality. Plant-safe.",77-82°F,6.8-7.6,4-10 dKH,Southeast Asia (Thailand),Safe,Kryptopterus vitreolus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Glass.html,CA11
Catfish Julii Cory,Peaceful,"2.5""",10 Gallon,Silver white covered in fine black dots and fine lines,"Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms","Popular, peaceful cory. Great community fish; keep in groups of 6 or more. Plant-safe. Prefers soft substrate.",75-85°F,7.0-7.4,4-10 dKH,South America (Amazon Basin),Safe,Corydoras julii,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Julii Cory.html,CA12
Catfish Metae,Peaceful,"2""",10 Gallon,Tan body with black band running over ridge of back,"Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms",Peaceful cory catfish species. Social bottom dweller. Plant-safe. Keep in groups of 6 or more.,75-85°F,7.0-7.4,3-10 dKH,"Rios Meta, Guaviare, Ocoa & Manacacias (Orinoco Basin)",Safe,Corydoras metae,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Metae.html,CA13
Catfish Otto,Peaceful,"1.5""",10 Gallon,Muted mottled brown back with a distinct black side stripe,"Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms","Otocinclus — tiny, peaceful algae eater. Excellent in planted tanks; grazes algae off leaves without damaging plants. Keep in groups of 4+.",75-85°F,7.0-7.4,2-10 dKH,South America,Safe,Otocinclus vittatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Otto.html,CA14
Catfish Paleatus Cory,Peaceful,"3""",10 Gallon,Mottled olive-green and grey with dark blotches,"Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms",Peppered/paleatus cory; peaceful and hardy community fish. Plant-safe. Keep in groups of 6 or more.,75-85°F,7.0-7.4,3-10 dKH,South America (Amazon Basin),Safe,Corydoras paleatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Paleatus Cory.html,CA15
Catfish Panda Cory,Peaceful,"2""",10 Gallon,Off-white body with distinct black eye patches and tail spot,"Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms","Popular, peaceful cory; excellent community fish. Keep in groups of 6 or more. Plant-safe; likes planted tanks.",75-85°F,7.0-7.4,3-10 dKH,South America (Amazon Basin),Safe,Corydoras panda,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Panda Cory.html,CA16
Catfish Peppered Cory,Peaceful,"3""",10 Gallon,Olive-silver with dark grey flecks scattered across body,"Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms","Hardy, peaceful community catfish. Plant-safe; prefers soft substrate. Keep in groups of 6 or more.",75-85°F,7.0-7.4,3-10 dKH,South America (Amazon Basin),Safe,Corydoras paleatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Peppered Cory.html,CA17
Catfish Peru Cory,Peaceful,"2.5""",10 Gallon,Coppery-tan body with bright orange accents on fins,"Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms",Peaceful cory species; social bottom dweller. Plant-safe. Keep in groups of 6 or more.,75-85°F,7.0-7.4,3-10 dKH,South America (Amazon Basin),Safe,Corydoras sp.,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Peru Cory.html,CA18
Catfish Pictus,Semi-aggressive,"5""",29 Gallon,"Bright silver body covered in bold, sharp black spots","Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms","Active, semi-aggressive catfish with long barbels. May eat very small fish or shrimp. Plant-safe. Best with larger peaceful fish.",75-85°F,7.0-7.4,4-12 dKH,South America (Amazon/Orinoco),Safe,Pimelodus pictus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Pictus.html,CA19
Catfish Polka Dot Fairy Cory,Peaceful,"2.5""",10 Gallon,Intricate uniform fine black polka-dots over tan base,"Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms","Peaceful, small cory species. Good community fish. Plant-safe. Keep in groups.",75-85°F,7.0-7.4,3-10 dKH,South America (Amazon Basin),Safe,Corydoras habrosus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Polka Dot Fairy Cory.html,CA20
Catfish Red Sailfin Cory,Peaceful,"2.5""",10 Gallon,Warm reddish coppery body with tall dorsal fin,"Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms","Peaceful, attractive cory. Good community bottom dweller. Plant-safe. Keep in groups of 6 or more.",75-85°F,7.0-7.4,3-10 dKH,South America (Amazon Basin),Safe,Corydoras sp.,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Red Sailfin Cory.html,CA21
Catfish Skunk Cory,Peaceful,"2""",10 Gallon,Cream body with sharp black line running edge of spine,"Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms",Peaceful cory species; social and community-friendly. Plant-safe. Keep in groups of 6 or more.,75-85°F,7.0-7.4,3-10 dKH,South America (Amazon Basin),Safe,Corydoras arcuatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Skunk Cory.html,CA22
Catfish Spotted Raphael,Peaceful,"6""",29 Gallon,Dark midnight brown body covered in white polka-dots,"Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms","Nocturnal, peaceful catfish. Mostly hides during the day. Plant-safe; prefers dim, planted tanks.",75-85°F,7.0-7.4,4-15 dKH,South America (Amazon Basin),Safe,Agamyxis pectinifrons,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Spotted Raphael.html,CA23
Catfish Sterbai Cory,Peaceful,"2.6""",10 Gallon,Dark grey body with white speckles; bright orange pectoral fins,"Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms","Popular, peaceful cory; great community fish. Tolerates higher temperatures, suitable for discus tanks. Plant-safe. Keep in groups of 6 or more.",75-85°F,7.0-7.4,3-10 dKH,South America (Amazon Basin),Safe,Corydoras sterbai,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Sterbai Cory.html,CA25
Catfish Striped Raphael,Peaceful,"8""",29 Gallon,Rigid dark brown body with bold white horizontal stripes,"Omnivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms","Peaceful, nocturnal catfish. May make clicking sounds. Plant-safe. Can reach 9 Inches or more.",75-85°F,7.0-7.4,4-15 dKH,South America (Amazon Basin),Safe,Platydoras armatulus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Catfish Striped Raphael.html,CA24
Cichlid Acara Blue,Semi-aggressive,"6-7""",29 Gallon,Iridescent blue-green with flecking,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Good starter cichlid for larger community tanks; may pair off; appreciates rock and driftwood structure,72-80°F,6.5-7.8,4-12 dKH,"Trinidad, Venezuela, Colombia",Mostly safe (may dig),Andinoacara pulcher,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Acara Blue.html,9137792
Cichlid Acara Blue,Semi-aggressive,"6""",29 Gallon,Blue-green iridescent body with rows of shimmering turquoise spots; orange/red edging on dorsal and caudal fins,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets","Blue Acaras are a hardy, adaptable, and relatively peaceful cichlid — a great ""gateway"" cichlid for hobbyists moving up from community tanks. They tolerate a wide pH/temperature range and are far more forgiving of water parameters than many other cichlids. Provide sand or fine gravel substrate (they like to sift), rockwork, and driftwood with some open swimming space. They'll dig moderately but are not typically destructive to well-anchored plants — Anubias, Java Fern, and Vallisneria all do well with them",68–82°F,6.5–8.0,4–18 dKH,"South America (Colombia, Venezuela, Trinidad)",Safe,Andinoacara pulcher,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Acara Blue.html,9137792
Cichlid Apistogramma (Blue Pair),Peaceful; territorial when breeding,"2-3""",10 Gallon,"Blue iridescent body, red fin edging","Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Soft/acidic water dwarf cichlid; keep as a pair or harem with caves; sensitive to hard water,78-84°F,5.5-6.8,1-5 dKH,Amazon basin (Brazil/Peru),Safe,"Apistogramma agassizii ""Blue""",https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Apistogramma (Blue Pair).html,CI01
Cichlid Apistogramma (Hong Sloi Pair),Peaceful,"3""",10 Gallon,Electric iridescent blue bodies with red/yellow fins,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Dwarf cichlid; mild-mannered for a cichlid. Males territorial during breeding. Excellent in planted tanks — plants help break territory.,77-85°F,6.5-7.5,1-5 dKH,South America (Amazon Basin),Safe,Apistogramma agassizii / cacatuoides,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Apistogramma (Hong Sloi Pair).html,CI02
Cichlid Apistogramma (Orange Flash Pair),Peaceful; territorial when breeding,"2-3""",10 Gallon,"Orange-yellow body, cockatoo-like dorsal fin","Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Hardier than most Apistogramma; still prefers caves/cover and a harem grouping,76-84°F,5.5-7.5,2-10 dKH,"Amazon basin, Peru",Safe,"Apistogramma cacatuoides ""Orange Flash""",https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Apistogramma (Orange Flash Pair).html,CI03
Cichlid Apistogramma (Petras Pair),Peaceful; territorial when breeding,"2-3""",10 Gallon,Yellow body with blue facial highlights,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Soft/acidic water dwarf cichlid; sensitive to water quality; keep with driftwood and leaf litter,78-84°F,5.5-6.8,1-5 dKH,Peru (Amazon basin),Safe,Apistogramma cf. petrayi,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Apistogramma (Petras Pair).html,CI04
Cichlid Apistogramma (Red Double Pair),Peaceful; territorial when breeding,"2-3""",10 Gallon,Deep red body and fins,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Soft/acidic water dwarf cichlid; keep as a pair or harem with caves and cover,78-84°F,5.5-6.8,1-5 dKH,"Amazon basin, Brazil/Peru",Safe,"Apistogramma agassizii ""Double Red""",https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Apistogramma (Red Double Pair).html,CI05
Cichlid Apistogramma (Red Fire Pair),Peaceful; territorial when breeding,"2-3""",10 Gallon,Vivid fiery red body,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Soft/acidic water dwarf cichlid; keep as a pair or harem with caves and cover,78-84°F,5.5-6.8,1-5 dKH,"Amazon basin, Brazil/Peru",Safe,"Apistogramma agassizii ""Fire Red""",https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Apistogramma (Red Fire Pair).html,CI06
Cichlid Apistogramma (Red Super Pair),Peaceful; territorial when breeding,"2-3""",10 Gallon,Intense saturated red body,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Soft/acidic water dwarf cichlid; premium color strain; keep as a pair or harem with caves,78-84°F,5.5-6.8,1-5 dKH,"Amazon basin, Brazil/Peru",Safe,"Apistogramma agassizii ""Super Red""",https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Apistogramma (Red Super Pair).html,CI07
Cichlid Arowana (Small),Aggressive/predatory as it matures,"24-36""+ (very large adult)",55 Gallon,Silver with iridescent scales,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Grows extremely large; needs a tight-fitting lid (jumper) and eventually a very large tank; predatory diet,75-82°F,6.0-6.5,1-5 dKH,"Amazon basin, South America",Mostly safe (large adults may uproot),Osteoglossum bicirrhosum,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Arowana (Small).html,CI08
